No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
3165,Alhamdulillah setelah penantian hampir 3 bulan akhirnya datang juga.Bayar pajak dari tanggal 18 September datang di tanggal 5 Desember.itu pun setelah mengajukan komplen berkali-kali,alhamdulillah nanti jugabayar pajak tanggal september tanggal desemberitu aju komplen berkalikali,negatif,negatif,negatif
3166,"Samsat offline nya buseet antrinya hari Senen gak kira²,udah gak pakai spiker gak kedengeran kalo di panggil",samsat offline ya buseet antri senen kiraudah pakai spiker dengar panggil,positif,positif,positif
3167,"keren praktis ngk ribet pokok nya untuk perpanjangan tahunan ya, kalo 5tahunan harus ke samsat asal",keren praktis ribet pokok ya panjang tahun ya tahun samsat,positif,positif,positif
3168,Berfungi dengan baik,fungi,positif,positif,positif
3169,cepet dan bagus cuman semakin tahun semakin mahal bayar pajak tolong lah perbaiki masa perbedanya jauh ke tahun,cepat bagus cuman mahal bayar pajak tolong baik beda,positif,positif,positif
3170,"proses mudah, cepat dan sangat membantu",proses mudah cepat bantu,positif,positif,positif
3171,Online harusnya memudahkan dan hemat biaya ehh sama aja..kena biaya perbankan lah biaya platform lah dll jatuhnya sama aja kayak lewat CALO Tolong diperbaiki sistemnya,online mudah hemat biaya eh ajakena biaya perban biaya platform dll jatuh kayak calo tolong baik sistem,negatif,negatif,negatif
3172,"bagus gak perlu cape,buang tenaga 2hari jadi di aterin depan rumah,",bagus capebuang tenaga aterin rumah,positif,positif,positif
3173,"pelayanan baik, dan pengiriman sesuai tepat waktu dokument",layan kirim sesuai dokument,positif,positif,positif
3174,baru pertama kali pakai apk ini ternyata mudah dan cepat terimakasih,kali pakai apk mudah cepat terimakasih,positif,positif,positif
3175,lebih mudah No ribet No ngantri no fotocopy ini dan ini,mudah no ribet no antri no fotocopy,positif,positif,positif
3176,mantap tetpercaya,mantap tetpercaya,positif,positif,positif
3177,"sangat bagus,mudah dan cepat prosesnya 👍👍👍",bagusmudah cepat proses,positif,positif,positif
3178,proses cepat mempermudah perpanjangan stnk tanpa harus antri ke samsat,proses cepat mudah panjang stnk antri samsat,positif,positif,positif
3179,"sudah di coba berulang ulang, giliran mau bayar gak bisa bisa, kode bayar tidak valid terus",coba ulang ulang gilir bayar kode bayar valid,negatif,negatif,negatif
3180,Alhamdulilah memudahkan,alhamdulilah mudah,positif,positif,positif
3181,"mudah dan cepat, gak perlu repot datang ke samsat, cukup dari rumah aja",mudah cepat repot samsat rumah,positif,positif,positif
3182,kita sebagai negara wajib bayar pajak dan aplikasi ini sangat membantu. niat kita baik tetapi negara tidak begitu. masak bayar pajak melalui aplikasi kita dikenakan beban admin bank sebesar 10 k. memang nilai segitu bagi perorangan tidaklah besar tetapi kalau jumlahnya banyak? kenapa harus begitu,negara wajib bayar pajak aplikasi bantu niat negara masak bayar pajak aplikasi kena beban admin bank nilai segitu orang,negatif,positif,positif
3183,"sangat membantu, mudah pembayarannya tapi ada kurangnya dikit yaitu surat nyampek lama tapi bisa diprint sendirii. untuk semuanya baik sekali.......",bantu mudah bayar kurang dikit surat nyampek diprint,positif,positif,positif
3184,"aplikasi tidak berguna, banyak bug, nik dan email sudah terverifikasi malah minta verifikasi di samsat secara offline. sudah ke samsat malah pegawainya bingung",aplikasi guna bug nik email verifikasi verifikasi samsat offline samsat pegawai bingung,negatif,negatif,negatif
3185,"ribet verifikasinya, orang mau bayar pajak aja di persulit 👎👎👎",ribet verifikasi orang bayar pajak sulit,negatif,negatif,negatif
3186,"aplikasinya bagus banget dan mudah digunakan,, semoga kedepannya untuk pergantian PLAT 5 tahun bisa juga lewat sini, tinggal ngisi formulir tanpa cek fisik kendaraan",aplikasi bagus banget mudah moga depan ganti plat tinggal ngisi formulir cek fisik kendara,positif,positif,positif
3187,sangat bermanfaat dan memudahkan kaum perantau untuk taat bayar pajak,manfaat mudah kaum rantau taat bayar pajak,positif,positif,positif
3188,good apps,good apps,positif,positif,positif
3189,Mudah dan Cepat,mudah cepat,positif,positif,positif
3190,bayar pajak jngn persulit serba online mantap gk usah ribet jaman sekrang no 1,bayar pajak sulit serba online mantap ribet jaman no,positif,positif,positif
3191,"Terima kasih SIGNAL,, Saya baru saja menggunakan aplikasi ini untuk bayar pajak tahunan kendaraan saya. Alhamdulillan proses cepat dan pengiriman notice pajak nya juga cepat dikirim walau beda pulau. Saran, untuk saat proses pembayaran pakai trf bank maupun beberpa opsi lain masih sering susah, tolong diperbaiko bagian pembayaran tersebut. overall Oke aplikasi ini. Terima kasih",terima kasih signal aplikasi bayar pajak tahun kendara alhamdulillan proses cepat kirim notice pajak ya cepat kirim beda pulau saran proses bayar pakai trf bank beberpa opsi susah tolong diperbaiko bayar overall oke aplikasi terima kasih,positif,positif,positif
3192,"Terhitung dari tanggal pelunasan pembayara n agak lama menunggu STNK dikirim ke alamat pemohon, mohon ada petugas khusus yang menangani sehingga pelayanan juga cepat seperti pelayanan tatap muka, terimakasih.",hitung tanggal lunas pembayara n tunggu stnk kirim alamat mohon mohon tugas khusus tangan layan cepat layan tatap muka terimakasih,positif,positif,positif
3193,"lebih cepat & lebih mudah, semoga ke depannya bisa juga u/pajak 5 tahunan",cepat mudah moga depan upajak tahun,positif,positif,positif
3194,"Luar biasa, pelayanan sangat mudah dan cepat, 👍👍👍",layan mudah cepat,positif,positif,positif
3195,"sangat membantu dan efisien , tanpa perlu datang ke Samsat.",bantu efisien samsat,positif,positif,positif
3196,terima kasih. pelayanan baik dan cepat,terima kasih layan cepat,positif,positif,positif
3197,goooddd,goooddd,positif,positif,positif
3198,memudahkan masyarakat yg sedang merantau jika ingin perpanjang pajak kendaraan..,mudah masyarakat rantau panjang pajak kendara,positif,positif,positif
3199,"mudah bayar tahunan,.kedepan bayar 5 tahunan juga mudah",mudah bayar tahunankedepan bayar tahun mudah,positif,positif,positif
3200,cepet proses nya,cepat proses ya,positif,positif,positif
3201,"suiip cpt,,,mantap polri",suiip cptmantap polri,positif,positif,positif
3202,"keren banget, sangat memudahkan kita untuk membayar pajak kendaraan. untuk yang diluar provinsi bisa lewat online juga.. 👍👍",keren banget mudah bayar pajak kendara luar provinsi online,positif,positif,positif
3203,mantap .baru pertama pajak online..seminggu sampai tujuan,mantap pajak onlineseminggu tuju,positif,positif,positif
3204,"Alhamdulillah, stnk sudah sampai dikirim via pos. sangat memudahkan sekali, Terimakasih",alhamdulillah stnk kirim via pos mudah terimakasih,positif,positif,positif
3205,"sudah 2X bayar lewat aplikasi ini, sangat membantu",kali bayar aplikasi bantu,positif,positif,positif
3206,terbaik tanpa ribet,baik ribet,positif,positif,positif
3207,"aplikasi tidak bermutu,kita disuruh masukin kode otp tapi kodenya gak dikirim ya gak bisa daftar lah",aplikasi bermutukita suruh pasuk kode otp kode kirim ya daftar,negatif,negatif,negatif
3208,mempermudah kami yang merantau dalam mengurus pajak kendaraan bermotor,mudah rantau urus pajak kendara motor,positif,positif,positif
3209,proses mudah dan cepat.. sangat membantu,proses mudah cepat bantu,positif,positif,positif
3210,"sangat memudahkan dalam memperpanjang STNK tanpa perlu datang langsung ke Samsat, dan yang penting NO PUNGLI",mudah panjang stnk langsung samsat no pungli,positif,positif,positif
3211,Yang kesekian kalinya bayar pajak pakai SIGNAL... Praktis...bayar pajak kendaraan dari rumah mudah2n kedepannya bisa untuk pajak ganti plat nomor biar lebih praktis tidak menyita waktu...,sekian kali bayar pajak pakai signal praktisbayar pajak kendara rumah mudahn depan pajak ganti plat nomor biar praktis sita,positif,positif,positif
3212,alhamdulillah stnk datang sesuai prediksi 4 hari . . . awal pengesahan doang susah karna banyak yang bayar pajak .. .. mantap untuk apl signal 👍👍,alhamdulillah stnk sesuai prediksi kesah doang susah bayar pajak mantap apl signal,positif,positif,positif
3213,sangat membantu. semoga idak gangguan aplikasi nyo krn dulu glk gangguan,bantu moga idak ganggu aplikasi nya glk ganggu,positif,positif,positif
3214,lumayan mempermudah bayar pajak apa lagi kalo belum ada waktu ke samsat,lumayan mudah bayar pajak samsat,positif,positif,positif
3215,lumayan memudahkan untuk membayar pajak tahunan sayangnya pengiriman dokumen fisiknya lama sekali sampe ke rumah,lumayan mudah bayar pajak tahun sayang kirim dokumen fisik rumah,positif,positif,positif
3216,baik sekali,nan,positif,positif,positif
3217,"kekurangan hanya blom di beri cap stempel ketika saat pembayaran langsung ke samsat. klo prosesnya cukup mudah saat pengajuan, pembayaran.",kurang cap stempel bayar langsung samsat proses mudah aju bayar,positif,positif,positif
3218,cukup membantu ...,bantu,positif,positif,positif
3219,Apk Signal emng the best bngttt😍,apk signal the best banget,positif,positif,positif
3220,Mantap memudahkan untuk membayar pajak tanpa perlu harus datang ke samsat,mantap mudah bayar pajak samsat,positif,positif,positif
3221,"saya baru pertama kali nya bayar pajak online karena tidak dapat meningkatkan ibu saya yang sedang sakit. Alhamdulillah,, sangat memuaskan, STNK saya diantar langsung ke rumah oleh pak pos. Yang saya harapkan untuk kedepannya, supaya bisa mempermudah lagi untuk pembayaran online nya melalui semua Aplikasi Brimo, Shopepay jangan hanya lewat DANA. TERIMAKASIH, SUKSES SELALU SAMSAT KOTA BUMI, LAMPUNG UTARA DaN SAMSAT SELURUH KOTA/PROPINSI...🤲🤲👍👍🙏🙏",kali ya bayar pajak online tingkat sakit alhamdulillah muas stnk antar langsung rumah pos harap depan mudah bayar online ya aplikasi brimo shopepay dana terimakasih sukses samsat kota bumi lampung utara samsat kotapropinsi,positif,positif,positif
3222,mantapp....tanpa harus ribet antri,mantapptanpa ribet antri,positif,positif,positif
3223,sangat membantu sekali bagi saya yg males ngantri 😁,bantu malas antri,positif,positif,positif
3224,mahal bgt byr pjak msh dsrh byr adm dll,mahal banget byr pjak dsrh byr adm dll,negatif,positif,negatif
3225,Setiap perpanjang stnk tahunan selalu di aplikasi Signal..sangat membantu...perpanjang stnk tanpa perlu ke samsat..,panjang stnk tahun aplikasi signalsangat membantuperpanjang stnk samsat,positif,positif,positif
3226,"perluas metode pembayaran, melalui bank swasta",luas metode bayar bank swasta,positif,positif,positif
3227,Bayar dan beberapa hari langsung dtg stnk dari kantor pos. Mkasih yaah. Ga harus dtg offline lgi.,bayar langsung stnk kantor pos mkasih ya offline,positif,positif,positif
3228,"Pembayaran sistem On line sangat bagus untuk satu Tahun, waktu pengambilan STNK di samsat harus menyertakan STNK jadi sangat menyulikan padahal tinggal ambil saja, terus bayar pajak 5 Tahun belum bisa on line harus datang, Sebenarnya orang mau kasih kita uang ke Negara kok masih di persulit ...ada alasan motor maling atau STNK hilang janganlah di persulit, ujung2 terjadi Pungli....jika perlu orang mau bayar pajak itu di kasih hadiah atau penghargaan jadi orang senang, Negara ada Pemasukan",bayar sistem on line bagus ambil stnk samsat serta stnk suli tinggal ambil bayar pajak on line orang kasih uang negara sulit alas motor maling stnk hilang sulit ujung punglijika orang bayar pajak kasih hadiah harga orang senang negara pasu,positif,positif,positif
3229,"tidak bisa memverifikasi wajah , udah di ulang-ulang tetap tidak bisa",verifikasi wajah ulangulang,negatif,negatif,negatif
3230,"tak perlu antri,tak perlu kena macet di jalan,tak perlu beli bakso dulu.tinggal daftar perpanjangan on line dan STNK langsung di kirim kerumah.",antritak kena macet jalantak beli bakso dulutinggal daftar panjang on line stnk langsung kirim rumah,positif,positif,positif
3231,proses mudah dan pegiriman cepat,proses mudah pegiriman cepat,positif,positif,positif
3232,"Assalamualaikum pak saya kasih bintang 1 dulu , mohon ijin untuk membayar pajak kendaraan bekas harusnya dipermudah karena saya beli motor bekas dan susah cari ktp pemilik pertama , semoga kedepan bisa dipermudah cara bayarnya karena sekarang era digital kalau memasukkan NIK KTP pemilik pertama saja harusnya cukup karena di BPKB pemilik motor pertama tertera , semoga keluhan saya ditanggapi terimakasih.",assalamualaikum kasih bintang mohon ijin bayar pajak kendara bekas mudah beli motor bekas susah cari ktp milik moga depan mudah bayar era digital masuk nik ktp milik bpkb milik motor tera moga keluh tanggap terimakasih,negatif,positif,positif
3233,"jadi ngak susah kalo taat pajak, cuma ya itu pengiriman agak lama (disclaimer : tergantung lokasi) tapi yang penting menghindari pungli",susah taat pajak ya kirim disclaimer gantung lokasi hindar pungli,positif,positif,positif
3234,"Sangat memudahkan proses pembayaran pajak kendaraan, dan pengecekan lain nya.",mudah proses bayar pajak kendara kece ya,positif,positif,positif
3235,lumayan,lumayan,positif,positif,positif
3236,sofar okee tapi pengiriman lumayan lama,sofar okee kirim lumayan,positif,positif,positif
3237,"biaya adminnya hapus lah, kan udah bayar pajak.",biaya adminnya hapus bayar pajak,negatif,negatif,negatif
3238,"sangat membantu sangat bermanfaat, pelayanan yang sangat memuaskan sukses selalu..",bantu manfaat layan muas sukses,positif,positif,positif
3239,keren bener pak . semoga bisa jadi lebih baik,keren moga,positif,positif,positif
3240,"mantul sekali pake aplikasi ini, aku bayar pajak dari luar kota dan STNK ku di anterin ke kampung halaman ku 🙏🏻🙌",mantul pakai aplikasi bayar pajak kota stnk ku antar kampung halaman ku,positif,positif,positif
3241,gampang ga ribet,gampang ribet,positif,positif,positif
3242,"kenapa disuruh verifikasi di email, tapi giliran bukak email gak ada pesan dari verifikasi apk tsbt",suruh verifikasi email gilir buka email pesan verifikasi apk tsbt,negatif,negatif,negatif
3243,sangat menolong proses seminggu fisik diterima dengan baik,tolong proses minggu fisik terima,positif,positif,positif
3244,kenapa lama sekali pengirimannya saya sudah bayar pertanggal 1 desember 2025 tapi belom sampe sampe,kirim bayar tanggal desember,negatif,negatif,negatif
3245,"mempermudah utk bayar pajak kendaraan, jadi tak perlu ke samsat...Darimana pun bisa",mudah bayar pajak kendara samsatdarimana,positif,positif,positif
3246,sangat mudah dan simple,mudah simple,positif,positif,positif
3247,"otp tidak terkirim, sudah 3 kali coba masih juga tidak muncul otp nya, tolong aplikasinya di perbaiki lagi, biar muda di akses, terima kasih",otp kirim kali coba muncul otp ya tolong aplikasi baik biar muda akses terima kasih,negatif,negatif,negatif
3248,terima kasih.sangat membantu kalo Sedang di luar daerah.,terima kasihsangat bantu daerah,positif,positif,positif
3249,sangat mudah cepat dan yg pasti membantu karena kesibukan kerja,mudah cepat bantu sibuk kerja,positif,positif,positif
3250,"ini tahun yg kedua bayar pajak mobil via signal,.. mantap, proses mudah dan cepat ..",bayar pajak mobil via signal mantap proses mudah cepat,positif,positif,positif
3251,mudah nda perlu balik kampung buat bayar pajak,mudah indak kampung bayar pajak,positif,positif,positif
3252,PENGIRIMAN CUKUP LAMA DARI DEPOK KE TANGGERANG SELATAN MAKAN WAKTU 4 HARI NOTE : USAKAN PENGIRIMAN INSTAN / SAMEDAY SUDAH BANYAK APLIKASI JASA PENGIRIMAN,kirim depok tanggerang selatan makan note usak kirim instan sameday aplikasi jasa kirim,positif,positif,positif
3253,aplikasi yang sangat recommended banget buat bayar pajak kendaraan yang setahun sekali pokoknya keren the best 👍🏻👍🏻👍🏻👍🏻👍🏻,aplikasi recommended banget bayar pajak kendara tahun pokok keren the best,positif,positif,positif
